
n° escrita, bmp_temp, bmp_pres, bmp_alt, TT101, TT102, TT103, TT104, TT105, TT106, nivelBateria, Gx, Gy, Gz, Ax, Ay, Az, mpu_temp, LAT_GPS, LGN_GPS, KMPH_GPS, SAT_GPS, ALTURA_GPS, gps_pres,
Escrita: 1,28.47,92211.32,787.99,32.27,32.88,27.49,33.16,35.22,35.85,0,0.01,0.00,0.05,-1.47,0.13,-9.79,28.34,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 2,28.48,92218.03,787.40,32.24,32.84,27.50,33.10,27.44,35.77,0,-0.04,0.04,0.08,-1.33,-0.14,-9.62,28.82,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 3,28.50,92218.27,787.38,32.45,32.87,27.55,33.19,34.44,35.75,0,-0.01,-0.00,-0.05,-1.40,0.11,-9.52,29.20,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 4,28.53,92216.92,787.50,32.46,32.92,27.60,33.37,31.75,35.81,0,0.08,0.06,0.08,-1.04,-0.14,-9.69,29.47,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 5,28.56,92217.88,787.42,32.54,33.00,27.69,33.35,32.43,35.82,0,-0.08,-0.03,-0.07,-1.62,0.42,-10.21,29.71,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 6,28.61,92217.17,787.48,32.47,32.95,27.69,33.49,35.20,35.84,0,-0.01,-0.00,0.21,-1.23,-0.18,-9.63,29.89,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 7,28.66,92217.28,787.47,30.22,30.73,27.76,33.60,33.56,35.87,0,-0.05,0.00,-0.00,-1.37,-0.09,-9.65,30.03,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 8,28.71,92216.34,787.56,29.84,30.02,27.78,33.69,35.56,35.91,0,0.05,0.05,-0.04,-1.32,-0.09,-9.90,30.17,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 9,28.78,92216.14,787.57,32.21,32.77,27.83,33.94,35.48,36.01,0,-0.07,-0.03,0.02,-1.35,0.28,-9.65,30.28,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 10,28.84,92218.05,787.40,32.36,32.82,27.91,34.26,35.38,36.15,0,-0.13,-0.04,-0.08,-1.51,0.16,-9.41,30.39,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 11,28.90,92219.22,787.30,32.47,32.78,27.94,34.19,35.05,36.12,0,-0.02,0.04,0.04,-1.23,-0.40,-9.81,30.49,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 12,28.95,92217.69,787.44,32.32,32.81,28.15,34.39,32.17,36.29,0,-0.08,-0.01,-0.05,-1.32,-0.48,-9.62,30.59,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 13,29.01,92217.05,787.49,32.46,32.87,28.16,34.43,35.46,36.47,0,-0.07,-0.01,-0.00,-1.38,-0.12,-9.61,30.67,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 14,29.11,92222.94,786.96,32.42,32.90,28.27,34.57,34.89,36.58,0,-0.05,0.02,-0.02,-1.42,-0.41,-9.40,30.74,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 15,29.13,92222.02,787.05,32.30,32.88,28.29,34.53,35.83,36.59,0,-0.15,-0.05,0.05,-1.33,-0.86,-9.75,30.82,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 16,29.28,92214.77,787.70,32.37,32.86,28.40,34.67,36.02,36.72,0,-0.13,-0.00,-0.03,-1.33,-0.20,-9.87,30.89,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 17,29.26,92218.64,787.35,32.48,32.90,28.48,34.79,35.88,36.85,0,0.03,-0.01,0.04,-1.48,-0.68,-9.72,30.95,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 18,29.38,92224.09,786.86,32.51,32.95,28.54,34.94,36.04,37.02,0,-0.10,0.01,-0.06,-1.42,0.00,-9.63,31.02,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 19,29.36,92221.95,787.05,32.59,32.97,28.71,34.95,35.91,37.11,0,0.00,0.01,0.02,-1.08,-0.33,-9.75,31.09,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 20,29.50,92221.89,787.06,32.65,32.98,28.77,35.08,35.99,37.29,0,-0.03,0.09,-0.01,-1.09,-0.25,-9.45,31.14,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 21,29.47,92220.13,787.22,32.68,32.97,28.79,35.18,36.01,37.33,0,-0.04,0.00,0.01,-1.19,-0.29,-9.69,31.19,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 22,29.59,92217.95,787.41,32.72,32.94,28.93,35.21,36.01,37.40,0,0.01,0.02,0.04,-1.22,-0.12,-9.92,31.26,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 23,29.57,92219.47,787.28,32.77,32.98,29.02,35.29,36.11,37.60,0,-0.05,0.01,-0.01,-1.21,-0.28,-9.67,31.32,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 24,29.69,92219.06,787.31,32.82,33.05,29.06,35.38,36.09,37.83,0,-0.06,0.02,0.02,-1.16,-0.32,-9.73,31.39,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 25,29.66,92221.45,787.10,32.69,33.03,29.18,35.44,36.19,37.91,0,-0.04,-0.04,-0.01,-1.26,-0.22,-9.72,31.43,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 26,29.80,92213.30,787.83,32.74,33.04,29.29,35.49,36.27,38.08,0,-0.07,0.08,0.02,-1.24,-0.15,-10.08,31.49,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 27,29.76,92218.53,787.36,32.75,32.99,29.32,35.61,36.28,38.13,0,-0.05,-0.01,-0.07,-1.09,-0.23,-9.61,31.54,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 28,29.89,92226.94,786.60,32.82,33.12,29.46,35.70,36.35,38.27,0,-0.13,0.07,-0.05,-0.95,-0.39,-9.75,31.60,0.00,0.00,0.00,0,0.00,101325.00,
Escrita: 29,29.86,92223.80,786.89,32.85,33.20,29.59,35.82,36.43,38.47,0,-0.09,0.06,0.05,-0.96,-0.34,-9.74,31.65,0.00,0.00,0.00,0,0.00,101325.00,
